timestamp,personas,coordenadas
2025-07-03T15:59:33,9,"[{'x': 737.5, 'y': 854.0}, {'x': 216.5, 'y': 825.0}, {'x': 1146.0, 'y': 709.0}, {'x': 584.5, 'y': 675.5}, {'x': 927.5, 'y': 600.0}, {'x': 689.5, 'y': 508.0}, {'x': 35.5, 'y': 547.5}, {'x': 416.0, 'y': 482.0}, {'x': 436.0, 'y': 321.5}]"
2025-07-03T15:59:34,13,"[{'x': 793.5, 'y': 902.0}, {'x': 531.0, 'y': 736.5}, {'x': 196.0, 'y': 878.5}, {'x': 1240.0, 'y': 744.5}, {'x': 708.0, 'y': 512.5}, {'x': 822.0, 'y': 514.5}, {'x': 448.0, 'y': 540.5}, {'x': 968.0, 'y': 581.5}, {'x': 563.0, 'y': 446.0}, {'x': 435.5, 'y': 327.0}, {'x': 29.0, 'y': 534.0}, {'x': 1009.0, 'y': 405.0}, {'x': 156.0, 'y': 415.0}]"
2025-07-03T15:59:35,12,"[{'x': 1196.5, 'y': 772.5}, {'x': 804.5, 'y': 870.5}, {'x': 277.5, 'y': 852.5}, {'x': 1044.5, 'y': 602.0}, {'x': 40.5, 'y': 535.0}, {'x': 651.5, 'y': 618.0}, {'x': 1006.5, 'y': 404.0}, {'x': 442.5, 'y': 555.5}, {'x': 563.5, 'y': 540.0}, {'x': 797.0, 'y': 507.5}, {'x': 153.5, 'y': 414.5}, {'x': 265.5, 'y': 609.0}]"
2025-07-03T15:59:36,12,"[{'x': 798.0, 'y': 856.5}, {'x': 355.0, 'y': 811.0}, {'x': 1185.0, 'y': 753.5}, {'x': 600.5, 'y': 571.0}, {'x': 704.0, 'y': 387.0}, {'x': 1065.0, 'y': 573.0}, {'x': 36.5, 'y': 537.0}, {'x': 430.5, 'y': 559.0}, {'x': 896.5, 'y': 465.5}, {'x': 1039.5, 'y': 388.5}, {'x': 310.5, 'y': 612.5}, {'x': 439.0, 'y': 326.5}]"
2025-07-03T15:59:37,13,"[{'x': 783.0, 'y': 858.0}, {'x': 359.5, 'y': 815.0}, {'x': 1208.0, 'y': 745.0}, {'x': 282.0, 'y': 660.5}, {'x': 1047.5, 'y': 559.5}, {'x': 36.0, 'y': 536.5}, {'x': 986.5, 'y': 472.0}, {'x': 453.0, 'y': 557.5}, {'x': 610.5, 'y': 548.0}, {'x': 439.5, 'y': 325.5}, {'x': 1095.0, 'y': 378.5}, {'x': 154.0, 'y': 414.0}, {'x': 746.5, 'y': 382.5}]"
2025-07-03T15:59:38,11,"[{'x': 762.0, 'y': 889.0}, {'x': 308.0, 'y': 854.0}, {'x': 1285.5, 'y': 751.5}, {'x': 790.5, 'y': 556.0}, {'x': 1023.5, 'y': 539.0}, {'x': 554.5, 'y': 500.5}, {'x': 304.0, 'y': 663.0}, {'x': 438.0, 'y': 325.5}, {'x': 895.0, 'y': 373.0}, {'x': 39.0, 'y': 551.5}, {'x': 155.0, 'y': 414.5}]"
2025-07-03T15:59:39,13,"[{'x': 773.0, 'y': 902.5}, {'x': 312.5, 'y': 873.0}, {'x': 558.5, 'y': 499.0}, {'x': 1275.0, 'y': 739.0}, {'x': 1126.5, 'y': 547.0}, {'x': 371.5, 'y': 655.5}, {'x': 783.5, 'y': 471.5}, {'x': 437.5, 'y': 326.5}, {'x': 599.0, 'y': 428.0}, {'x': 986.0, 'y': 533.5}, {'x': 920.5, 'y': 393.5}, {'x': 43.0, 'y': 551.5}, {'x': 153.5, 'y': 415.5}]"
2025-07-03T16:00:08,25,"[{'x': 501.0, 'y': 185.0}, {'x': 493.5, 'y': 133.0}, {'x': 235.0, 'y': 250.0}, {'x': 262.5, 'y': 179.0}, {'x': 607.5, 'y': 69.5}, {'x': 397.0, 'y': 338.5}, {'x': 97.5, 'y': 174.5}, {'x': 409.0, 'y': 65.5}, {'x': 245.5, 'y': 104.5}, {'x': 489.5, 'y': 265.5}, {'x': 77.0, 'y': 34.0}, {'x': 371.0, 'y': 32.0}, {'x': 578.5, 'y': 60.5}, {'x': 303.5, 'y': 50.5}, {'x': 199.5, 'y': 110.0}, {'x': 567.0, 'y': 25.0}, {'x': 396.0, 'y': 71.5}, {'x': 291.5, 'y': 45.0}, {'x': 274.0, 'y': 46.5}, {'x': 545.0, 'y': 24.0}, {'x': 39.0, 'y': 63.5}, {'x': 317.5, 'y': 80.0}, {'x': 249.5, 'y': 18.5}, {'x': 125.0, 'y': 23.0}, {'x': 533.5, 'y': 24.0}]"
2025-07-03T16:00:09,30,"[{'x': 393.0, 'y': 324.0}, {'x': 95.0, 'y': 189.0}, {'x': 237.5, 'y': 229.0}, {'x': 500.5, 'y': 145.5}, {'x': 628.0, 'y': 246.0}, {'x': 261.5, 'y': 164.0}, {'x': 477.5, 'y': 266.0}, {'x': 610.5, 'y': 75.5}, {'x': 507.0, 'y': 199.5}, {'x': 317.5, 'y': 87.0}, {'x': 582.0, 'y': 66.5}, {'x': 39.5, 'y': 63.0}, {'x': 200.0, 'y': 122.5}, {'x': 569.5, 'y': 29.0}, {'x': 371.0, 'y': 37.0}, {'x': 246.5, 'y': 93.5}, {'x': 548.0, 'y': 23.5}, {'x': 471.5, 'y': 30.0}, {'x': 133.5, 'y': 20.5}, {'x': 272.5, 'y': 43.0}, {'x': 89.5, 'y': 27.0}, {'x': 36.5, 'y': 300.5}, {'x': 249.5, 'y': 15.0}, {'x': 337.5, 'y': 62.0}, {'x': 290.5, 'y': 42.0}, {'x': 398.5, 'y': 64.0}, {'x': 123.5, 'y': 187.5}, {'x': 200.0, 'y': 88.5}, {'x': 537.0, 'y': 24.0}, {'x': 409.5, 'y': 57.0}]"
2025-07-03T16:00:10,27,"[{'x': 601.0, 'y': 207.5}, {'x': 377.0, 'y': 273.5}, {'x': 85.0, 'y': 223.0}, {'x': 520.5, 'y': 185.0}, {'x': 237.0, 'y': 181.0}, {'x': 428.5, 'y': 272.5}, {'x': 526.5, 'y': 236.0}, {'x': 260.0, 'y': 131.0}, {'x': 37.0, 'y': 61.0}, {'x': 317.5, 'y': 108.0}, {'x': 374.0, 'y': 50.5}, {'x': 202.5, 'y': 141.0}, {'x': 116.0, 'y': 14.0}, {'x': 622.5, 'y': 96.5}, {'x': 243.0, 'y': 69.5}, {'x': 290.0, 'y': 41.0}, {'x': 366.5, 'y': 348.0}, {'x': 397.0, 'y': 150.0}, {'x': 339.5, 'y': 78.0}, {'x': 272.5, 'y': 39.0}, {'x': 554.0, 'y': 28.5}, {'x': 201.5, 'y': 105.0}, {'x': 591.5, 'y': 66.5}, {'x': 394.5, 'y': 47.5}, {'x': 438.0, 'y': 16.0}, {'x': 590.0, 'y': 102.0}, {'x': 122.0, 'y': 186.0}]"
2025-07-03T16:00:11,27,"[{'x': 551.0, 'y': 285.5}, {'x': 578.5, 'y': 172.5}, {'x': 391.5, 'y': 289.0}, {'x': 407.0, 'y': 347.0}, {'x': 351.0, 'y': 312.5}, {'x': 240.5, 'y': 146.5}, {'x': 596.0, 'y': 88.0}, {'x': 7.5, 'y': 195.0}, {'x': 69.0, 'y': 263.5}, {'x': 376.5, 'y': 67.0}, {'x': 366.0, 'y': 227.0}, {'x': 203.5, 'y': 160.0}, {'x': 317.0, 'y': 126.5}, {'x': 38.0, 'y': 54.0}, {'x': 256.0, 'y': 105.0}, {'x': 70.5, 'y': 331.0}, {'x': 400.5, 'y': 126.0}, {'x': 632.5, 'y': 117.5}, {'x': 203.5, 'y': 122.5}, {'x': 467.5, 'y': 34.0}, {'x': 555.0, 'y': 34.0}, {'x': 450.5, 'y': 18.0}, {'x': 605.5, 'y': 122.0}, {'x': 273.0, 'y': 37.0}, {'x': 121.5, 'y': 181.5}, {'x': 542.5, 'y': 227.0}, {'x': 566.5, 'y': 33.0}]"
2025-07-03T16:00:12,25,"[{'x': 240.0, 'y': 322.0}, {'x': 50.5, 'y': 324.5}, {'x': 356.0, 'y': 329.5}, {'x': 410.5, 'y': 297.5}, {'x': 573.5, 'y': 284.5}, {'x': 556.0, 'y': 142.0}, {'x': 601.5, 'y': 113.5}, {'x': 315.5, 'y': 149.5}, {'x': 26.5, 'y': 222.5}, {'x': 199.0, 'y': 190.5}, {'x': 576.0, 'y': 336.0}, {'x': 363.5, 'y': 187.5}, {'x': 337.5, 'y': 118.5}, {'x': 36.5, 'y': 57.0}, {'x': 200.0, 'y': 147.0}, {'x': 240.5, 'y': 117.5}, {'x': 625.5, 'y': 152.5}, {'x': 345.0, 'y': 258.5}, {'x': 400.5, 'y': 106.0}, {'x': 379.0, 'y': 87.0}, {'x': 466.5, 'y': 34.0}, {'x': 121.0, 'y': 181.0}, {'x': 250.5, 'y': 84.0}, {'x': 312.5, 'y': 45.5}, {'x': 581.0, 'y': 66.5}]"
